parcel_id,situs_address,year_built,county_code,property_use,lot_size,building_area
474132020340,"8250 NW 105 LN, PARKLAND 33076",2004,16,001,6774,3500
474133051780,"10325 CANDLEBERRY ST, PARKLAND 33076",2014,16,001,15670,4211
474133052570,"9815 BAY LEAF CT, PARKLAND 33076",2017,16,001,14699,5275
474133051790,"10315 CANDLEBERRY ST, PARKLAND 33076",2013,16,001,14519,4179
474133051460,"8231 CANOPY TER, PARKLAND 33076",2013,16,001,7155,3144
474131050080,"8243 NW 125 LN, PARKLAND 33076",2008,16,001,6620,3662
474131050350,"8248 NW 125 LN, PARKLAND 33076",2006,16,001,7443,3547
474135021030,"8201 FALLS LN, PARKLAND 33067",1989,16,001,39602,3612
474133052600,"9650 EDEN MNR, PARKLAND 33076",2006,16,001,13708,4427
474131051410,"8246 NW 122 LN, PARKLAND 33076",2007,16,001,10564,4239
474133051810,"10265 CANDLEBERRY ST, PARKLAND 33076",2013,16,001,16360,3413
474133052790,"8239 EMERALD AVE, PARKLAND 33076",2006,16,001,9586,3619
474133051770,"10345 CANDLEBERRY ST, PARKLAND 33076",2013,16,001,16513,4322
474133051960,"8242 CANOPY TER, PARKLAND 33076",2008,16,001,7128,3465
474132022020,"10929 NW 81 MNR, PARKLAND 33076",2004,16,001,12214,3585
474132022030,"10919 NW 81 MNR, PARKLAND 33076",2004,16,001,14045,3585
474132020950,"8244 NW 107 TER, PARKLAND 33076",2006,16,001,8165,3420
474132021290,"8217 NW 107 TER, PARKLAND 33076",2006,16,001,7542,3265
474131051240,"8230 NW 124 TER, PARKLAND 33076",2007,16,001,9338,4200
474131051650,"8289 NW 124 TER, PARKLAND 33076",2007,16,001,11120,4077
474131051660,"8279 NW 122 LN, PARKLAND 33076",2007,16,001,11122,4239
474132022010,"10949 NW 81 MNR, PARKLAND 33076",2005,16,001,10856,3585
474132021210,"8235 NW 105 LN, PARKLAND 33076",2005,16,001,6716,3665
474133052300,"9920 BAY LEAF CT, PARKLAND 33076",2012,16,001,18289,5142
474132020350,"8240 NW 105 LN, PARKLAND 33076",2005,16,001,6775,2592
474131050360,"8236 NW 125 LN, PARKLAND 33076",2006,16,001,9050,3587
474133053010,"8232 EMERALD AVE, PARKLAND 33076",2006,16,001,9536,3619
474133051470,"8221 CANOPY TER, PARKLAND 33076",2015,16,001,7258,3145
474131050070,"8229 NW 125 LN, PARKLAND 33076",2008,16,001,6619,3691
474131051640,"8269 NW 124 TER, PARKLAND 33076",2007,16,001,11120,3418
474132022000,"10969 NW 81 MNR, PARKLAND 33076",2004,16,001,11024,4066
474133052500,"9965 BAY LEAF CT, PARKLAND 33076",2015,16,001,15414,5204
474133051970,"8232 CANOPY TER, PARKLAND 33076",2008,16,001,7204,3709
474133054460,"BLUE SAGE WAY, PARKLAND 33076",0,16,009,188194,0
474131051670,"8251 NW 122 LN, PARKLAND 33076",2006,16,001,11955,3300
474132021280,"8197 NW 107 TER, PARKLAND 33076",2004,16,001,7542,2955
474133050950,"8222 BRADFORD WAY, PARKLAND 33076",2014,16,001,10505,4263
474132021990,"10989 NW 81 MNR, PARKLAND 33076",2004,16,001,10624,3619
474132020940,"8234 NW 107 TER, PARKLAND 33076",2006,16,001,8033,2769
474133052800,"8229 EMERALD AVE, PARKLAND 33076",2006,16,001,10330,3937
474133052560,"9835 BAY LEAF CT, PARKLAND 33076",2018,16,001,14357,5785
474132021220,"8225 NW 105 LN, PARKLAND 33076",2005,16,001,8758,2724
474132023330,"NW 81 MNR, PARKLAND 33076",0,16,009,160119,0
474131051420,"8232 NW 122 LN, PARKLAND 33076",2007,16,001,10441,4120
474132021980,"11009 NW 81 MNR, PARKLAND 33076",2004,16,001,10611,3589
474131051230,"8218 NW 124 TER, PARKLAND 33076",2007,16,001,9717,3340
474132020360,"8230 NW 105 LN, PARKLAND 33076",2005,16,001,6774,3265
474132021270,"8187 NW 107 TER, PARKLAND 33076",2005,16,001,7542,3265
474131050060,"8215 NW 125 LN, PARKLAND 33076",2007,16,001,6619,2478
474135010020,"7070 W HILLSBORO BLVD, PARKLAND 33067",2013,16,099,1042620,0
474133051480,"8211 CANOPY TER, PARKLAND 33076",2014,16,001,7302,3486
474131050370,"8224 NW 125 LN, PARKLAND 33076",2008,16,001,7587,3718
474132021970,"11019 NW 81 MNR, PARKLAND 33076",2004,16,001,10611,4102
474133051980,"8222 CANOPY TER, PARKLAND 33076",2008,16,001,7267,4197
474132021960,"11039 NW 81 MNR, PARKLAND 33076",2004,16,001,10613,3212
474133053000,"8200 EMERALD AVE, PARKLAND 33076",2006,16,001,10661,4093
474131051630,"8239 NW 124 TER, PARKLAND 33076",2007,16,001,9684,3824
474133052170,"9780 BAY LEAF CT, PARKLAND 33076",2007,16,001,19236,5432
474133054480,"BLUE SAGE WAY, PARKLAND 33076",0,16,009,49347,0
474133052290,"9910 BAY LEAF CT, PARKLAND 33076",2007,16,001,14307,5432
474132021260,"8177 NW 107 TER, PARKLAND 33076",2004,16,001,7542,3061
474133052510,"9945 BAY LEAF CT, PARKLAND 33076",2015,16,001,14352,5245
474132020930,"8224 NW 107 TER, PARKLAND 33076",2006,16,001,7809,3622
474132021950,"11059 NW 81 MNR, PARKLAND 33076",2004,16,001,10420,3281
474132021230,"8195 NW 105 LN, PARKLAND 33076",2004,16,001,11654,2592
474132021940,"11079 NW 81 MNR, PARKLAND 33076",2005,16,001,12154,4222
474133050940,"8182 BRADFORD WAY, PARKLAND 33076",2014,16,001,10506,4179
474132022040,"10909 NW 81 MNR, PARKLAND 33076",2004,16,001,13268,4066
474135021160,"8121 BLUE RIDGE LN, PARKLAND 33067",1990,16,001,34375,4732
474132023190,"NW 107 TER, PARKLAND 33076",0,16,009,4806,0
474133054460,"BLUE SAGE WAY, PARKLAND 33076",0,16,009,188194,0
